SubjectID,StoryID,Picture#,MotiveSystem,CallIndex,RawAPIResponse,ParsedSubcategoryCodes,StoryLevelTotal,ModelTemperature,ModelTopP,ModelSeed,RequestTimestamp,ResponseHash,Error
P723,P723_PIC1,1,Ach,1,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence or unique accomplishment; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is about family and vacation, not about achievement."",
    ""Need"": ""No desire or commitment to achieve a goal of excellence."",
    ""Act"": ""No achievement-related action."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help toward an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""Story is not dominated by achievement concerns.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510033+00:00,cb601f0058e58996,
P723,P723_PIC1,1,Ach,2,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success related to achievement."",
    ""GA-"": ""No anticipation of goal failure related to achievement."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510099+00:00,23c58d07a7b60d1e,
P723,P723_PIC1,1,Ach,3,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success related to achievement."",
    ""GA-"": ""No anticipation of goal failure related to achievement."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510161+00:00,642d714f7bdeec19,
P723,P723_PIC1,1,Ach,4,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement; it deals with personal/family events."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510259+00:00,4c4f6cc8997ce3f3,
P723,P723_PIC1,1,Ach,5,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success."",
    ""GA-"": ""No anticipation of goal failure."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help related to an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510310+00:00,b49299f34e115277,
P723,P723_PIC1,1,Ach,6,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success."",
    ""GA-"": ""No anticipation of goal failure."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510426+00:00,8fa4ac4beab75cb3,
P723,P723_PIC1,1,Ach,7,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings related to achievement success."",
    ""F-"": ""No negative feelings related to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510462+00:00,2da5d891670947c3,
P723,P723_PIC1,1,Ach,8,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of goal success is present."",
    ""GA-"": ""No anticipation of goal failure is present."",
    ""BP"": ""No personal obstacle to an achievement goal is mentioned."",
    ""BW"": ""No external obstacle to an achievement goal is mentioned."",
    ""Help"": ""No enabler of an achievement goal is present."",
    ""F+"": ""No positive emotion about goal success is expressed."",
    ""F-"": ""No negative emotion about goal failure is expressed."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510497+00:00,ab06f7bd1037f74d,
P723,P723_PIC1,1,Ach,9,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings related to achievement success."",
    ""F-"": ""No negative feelings related to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:36:54.510546+00:00,2da5d891670947c3,
P723,P723_PIC3,3,Ach,1,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""Act+"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story focuses on Eva's dedication to research and pursuit of new drugs, indicating a clear achievement concern."",
    ""UI"": ""Not applicable because achievement imagery is present."",
    ""Need"": ""Eva hopes to fulfill her dream of discovering new doors, expressing a desire and commitment to reach a goal."",
    ""Act"": ""Many years of preparation, college, study, and trial and tribulations indicate actions taken toward the goal."",
    ""GA+"": ""She hopes to fulfill her dream, anticipating goal success."",
    ""GA-"": ""No anticipation of failure is mentioned."",
    ""BP"": ""No personal obstacles are described."",
    ""BW"": ""No external obstacles are described."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive feelings about success are explicitly stated."",
    ""F-"": ""No negative feelings about failure are mentioned."",
    ""TH"": ""The entire story revolves around Eva's research goal and her efforts to achieve it.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""Act+"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",5,0.0,1.0,7,2026-06-16T01:36:57.569548+00:00,9614c618f5059527,
