SubjectID,StoryID,Picture#,MotiveSystem,CallIndex,RawAPIResponse,ParsedSubcategoryCodes,StoryLevelTotal,ModelTemperature,ModelTopP,ModelSeed,RequestTimestamp,ResponseHash,Error
P723,P723_PIC1,1,Ach,1,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success in an achievement context."",
    ""GA-"": ""No anticipation of goal failure in an achievement context."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791517+00:00,924916346c9a621e,
P723,P723_PIC1,1,Ach,2,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence or competition; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is about family and vacation, not about achievement."",
    ""Need"": ""No desire or commitment to achieve a goal is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings related to achievement success."",
    ""F-"": ""No negative feelings related to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791578+00:00,5368bb32379c2e83,
P723,P723_PIC1,1,Ach,3,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence or unique accomplishment; the story focuses on family reunion and mishaps."",
    ""UI"": ""The story is unrelated to achievement; it is about family and vacation events."",
    ""Need"": ""No desire or commitment to achieve a goal of excellence."",
    ""Act"": ""No action taken toward an achievement goal."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal block related to achievement."",
    ""BW"": ""No external block related to achievement."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791640+00:00,024c7ebb5016880c,
P723,P723_PIC1,1,Ach,4,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No evidence of a standard of excellence, competition, or unique accomplishment; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement concerns; it is about family and personal events."",
    ""Need"": ""No desire or commitment to achieve a goal related to excellence is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No worry about failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No helper for an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791717+00:00,a65b2bce08d0b73d,
P723,P723_PIC1,1,Ach,5,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success."",
    ""GA-"": ""No anticipation of goal failure."",
    ""BP"": ""No personal obstacles to an achievement goal."",
    ""BW"": ""No external obstacles to an achievement goal."",
    ""Help"": ""No enabler of an achievement goal."",
    ""F+"": ""No positive feelings about goal success."",
    ""F-"": ""No negative feelings about goal failure."",
    ""TH"": ""The story is not dominated by achievement concerns.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791774+00:00,fa7d060f5a9077f9,
P723,P723_PIC1,1,Ach,6,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success in an achievement context."",
    ""GA-"": ""No anticipation of goal failure in an achievement context."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791861+00:00,1a66cb62cfc17909,
P723,P723_PIC1,1,Ach,7,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement; it deals with personal/family events."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal block to an achievement goal."",
    ""BW"": ""No external block to an achievement goal."",
    ""Help"": ""No help or enabler for an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791905+00:00,4c4f6cc8997ce3f3,
P723,P723_PIC1,1,Ach,8,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No evidence of a standard of excellence, competition, or unique accomplishment; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement concerns; it is about family and personal events."",
    ""Need"": ""No desire or commitment to achieve a goal related to excellence is expressed."",
    ""Act"": ""No action toward an achievement goal is described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No worry about failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No helper for an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.791947+00:00,a65b2bce08d0b73d,
P723,P723_PIC1,1,Ach,9,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with achieving a standard of excellence; the story focuses on family reunion and vacation mishaps."",
    ""UI"": ""The story is unrelated to achievement imagery."",
    ""Need"": ""No desire or commitment to reach an achievement goal is expressed."",
    ""Act"": ""No actions toward an achievement goal are described."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacles to an achievement goal."",
    ""BW"": ""No external obstacles to an achievement goal."",
    ""Help"": ""No enabling forces for an achievement goal."",
    ""F+"": ""No positive feelings related to achievement success."",
    ""F-"": ""No negative feelings related to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,0.0,1.0,7,2026-06-16T01:37:37.792021+00:00,832fc2fd4430e61a,
P723,P723_PIC3,3,Ach,1,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""Act+"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story focuses on Eva's dedication to research and her dream of discovering new drugs, indicating a clear achievement concern."",
    ""UI"": ""Not applicable because achievement imagery is present."",
    ""Need"": ""Eva hopes to fulfill her dream of discovering new doors to science, expressing a desire and commitment to reach a goal."",
    ""Act"": ""Many years of preparation, college, study, trial and tribulations indicate actions taken to achieve the goal."",
    ""GA+"": ""She hopes to fulfill her dream, anticipating goal success."",
    ""GA-"": ""No anticipation of failure is mentioned."",
    ""BP"": ""No personal obstacles are described."",
    ""BW"": ""No external obstacles are described."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive feelings about success are explicitly stated."",
    ""F-"": ""No negative feelings about failure are mentioned."",
    ""TH"": ""The entire story revolves around Eva's research goal and her efforts to achieve it.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""Act+"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",5,0.0,1.0,7,2026-06-16T01:37:40.803559+00:00,0dfd01f513453d82,
P723,P723_PIC3,3,Ach,2,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""Act+"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story focuses on a woman's dedication to research and pursuit of new drugs, indicating a clear achievement concern."",
    ""UI"": ""Not applicable because achievement imagery is present."",
    ""Need"": ""Eva hopes to fulfill her dream of discovering new doors, expressing a desire and commitment to reach a goal."",
    ""Act"": ""Many years of preparation, college, study, trial and tribulations indicate actions taken to achieve the goal."",
    ""GA+"": ""She hopes to fulfill her dream, anticipating success."",
    ""GA-"": ""No anticipation of failure is mentioned."",
    ""BP"": ""No personal obstacles are described."",
    ""BW"": ""No external obstacles are described."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive feelings about success are explicitly stated."",
    ""F-"": ""No negative feelings about failure are mentioned."",
    ""TH"": ""The entire story revolves around the achievement theme of research and discovery.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""Act+"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",5,0.0,1.0,7,2026-06-16T01:37:40.805353+00:00,74ea0da052138fe3,
P723,P723_PIC3,3,Ach,3,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""Act+"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story focuses on Eva's dedication to research and pursuit of new drugs, indicating a clear achievement concern."",
    ""UI"": ""Not applicable because achievement imagery is present."",
    ""Need"": ""Eva hopes to fulfill her dream of discovering new doors, expressing a desire and commitment to reach a goal."",
    ""Act"": ""Many years of preparation, college, study, and trial and tribulations indicate actions taken toward the goal."",
    ""GA+"": ""She hopes to fulfill her dream, anticipating goal success."",
    ""GA-"": ""No anticipation of failure is mentioned."",
    ""BP"": ""No personal obstacles are described."",
    ""BW"": ""No external obstacles are described."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive feelings about success are explicitly stated."",
    ""F-"": ""No negative feelings about failure are mentioned."",
    ""TH"": ""The entire story revolves around Eva's research goal and her efforts to achieve it.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""Act+"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",5,0.0,1.0,7,2026-06-16T01:37:40.806254+00:00,9614c618f5059527,
P723,P723_PIC3,3,Ach,4,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""Act+"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story describes a woman dedicated to research and the pursuit of new drugs, indicating a concern with achievement."",
    ""UI"": ""Achievement imagery is present, so UI is 0."",
    ""Need"": ""Eva hopes to fulfill her dream of discovering new doors, expressing a desire to reach a goal."",
    ""Act"": ""Many years of preparation, study, and trial and tribulations indicate actions taken toward the goal."",
    ""GA+"": ""She hopes to fulfill her dream, anticipating success."",
    ""GA-"": ""No explicit worry about failure is mentioned."",
    ""BP"": ""No personal obstacles are described."",
    ""BW"": ""No external obstacles are described."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive emotions are explicitly stated."",
    ""F-"": ""No negative emotions are explicitly stated."",
    ""TH"": ""The entire story revolves around the achievement goal of research and discovery.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""Act+"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",5,0.0,1.0,7,2026-06-16T01:37:40.807124+00:00,a9427e05e36716e6,
