SubjectID,StoryID,Picture#,MotiveSystem,CallIndex,RawAPIResponse,ParsedSubcategoryCodes,StoryLevelTotal,ModelTemperature,ModelTopP,ModelSeed,RequestTimestamp,ResponseHash,Error
P723,P723_PIC1,1,Ach,1,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; focus is on reunion and family incidents."",
    ""UI"": ""The story is about family reunion and vacation mishaps, not achievement."",
    ""Need"": ""No explicit desire to achieve a goal related to excellence."",
    ""Act"": ""No action toward an achievement goal."",
    ""GA+"": ""No anticipation of success in a competitive or excellence-based goal."",
    ""GA-"": ""No worry about failure in an achievement context."",
    ""BP"": ""No personal obstacle to achievement."",
    ""BW"": ""No external obstacle to achievement."",
    ""Help"": ""No helper for an achievement goal."",
    ""F+"": ""No positive affect tied to achievement success."",
    ""F-"": ""No negative affect tied to achievement failure."",
    ""TH"": ""Achievement is not the dominant theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664028+00:00,e23433495066ad16,
P723,P723_PIC1,1,Ach,2,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; the story revolves around family reunification and mishaps, not achievement."",
    ""UI"": ""The story is about personal/family matters, not achievement-related activity."",
    ""Need"": ""No desire or commitment to a standard of excellence is expressed."",
    ""Act"": ""No actions aimed at achieving a standard of excellence."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacles related to achievement."",
    ""BW"": ""No external obstacles related to achievement."",
    ""Help"": ""No helping forces toward an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664101+00:00,8d8cc63a9908e404,
P723,P723_PIC1,1,Ach,3,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; focus is on reunion and family incidents."",
    ""UI"": ""The story is about family reunion and vacation mishaps, not achievement."",
    ""Need"": ""No explicit desire to achieve a goal or standard of excellence."",
    ""Act"": ""No achievement-relevant action is described."",
    ""GA+"": ""No anticipation of success in achievement context."",
    ""GA-"": ""No worry about failure in achievement context."",
    ""BP"": ""No personal obstacles to achievement."",
    ""BW"": ""No external obstacles to achievement."",
    ""Help"": ""No help towards an achievement goal."",
    ""F+"": ""No positive emotion tied to achievement success."",
    ""F-"": ""No negative emotion tied to achievement failure."",
    ""TH"": ""The story is not dominated by achievement concerns.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664163+00:00,e713dadc4fc0f175,
P723,P723_PIC1,1,Ach,4,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""The story focuses on family reunion and vacation mishaps, not on a standard of excellence or competition."",
    ""UI"": ""No achievement imagery is present; the story is unrelated to achievement concerns."",
    ""Need"": ""No desire for achievement is expressed."",
    ""Act"": ""No achievement-related action is described."",
    ""GA+"": ""No anticipation of goal success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal block related to an achievement goal."",
    ""BW"": ""No external block related to an achievement goal."",
    ""Help"": ""No help toward an achievement goal."",
    ""F+"": ""No positive feelings tied to achievement success."",
    ""F-"": ""No negative feelings tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664248+00:00,0fb368df9379c502,
P723,P723_PIC1,1,Ach,5,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; focus is on family reunion and vacation mishaps, not on achievement."",
    ""UI"": ""Story is about family relationships and vacation incidents, unrelated to achievement.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664323+00:00,8303b0622b32eee2,
P723,P723_PIC1,1,Ach,6,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; focus is on family reunion and mishaps, not achievement."",
    ""UI"": ""The story is about family and vacation, lacking any achievement imagery."",
    ""Need"": ""No desire or commitment to an achievement goal is expressed."",
    ""Act"": ""No achievement-related action is present."",
    ""GA+"": ""No anticipation of goal success related to achievement."",
    ""GA-"": ""No worry about failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No enabler of an achievement goal."",
    ""F+"": ""No positive emotion tied to achievement success."",
    ""F-"": ""No negative emotion tied to achievement failure."",
    ""TH"": ""The story is not dominated by an achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664428+00:00,717c3506afedabb7,
P723,P723_PIC1,1,Ach,7,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; story focuses on family reunion and mishaps, not achievement."",
    ""UI"": ""The story does not contain any achievement imagery; it is unrelated to achievement concerns."",
    ""Need"": ""Not scored because AI is 0."",
    ""Act"": ""Not scored because AI is 0."",
    ""GA+"": ""Not scored because AI is 0."",
    ""GA-"": ""Not scored because AI is 0."",
    ""BP"": ""Not scored because AI is 0."",
    ""BW"": ""Not scored because AI is 0."",
    ""Help"": ""Not scored because AI is 0."",
    ""F+"": ""Not scored because AI is 0."",
    ""F-"": ""Not scored because AI is 0."",
    ""TH"": ""Not scored because AI is 0.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664471+00:00,8b4295ae3eda87da,
P723,P723_PIC1,1,Ach,8,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with a standard of excellence; the story focuses on family reunion and mishaps, not achievement."",
    ""UI"": ""The story is about family events and does not involve achievement imagery."",
    ""Need"": ""No desire to achieve a goal or meet a standard of excellence."",
    ""Act"": ""No instrumental activity toward an achievement goal."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No anticipation of failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No help or assistance toward an achievement goal."",
    ""F+"": ""No positive affect linked to achievement."",
    ""F-"": ""No negative affect linked to achievement."",
    ""TH"": ""The theme is not achievement-related; it's about family and a disrupted vacation.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664501+00:00,2191127500d0c538,
P723,P723_PIC1,1,Ach,9,"{
  ""AI"": ""0"",
  ""TI"": ""0"",
  ""UI"": ""1"",
  ""Need"": ""0"",
  ""Act"": null,
  ""GA+"": ""0"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""0"",
  ""explanation"": {
    ""AI"": ""No concern with standards of excellence, competition, or unique accomplishment."",
    ""UI"": ""Story focuses on family reunion and vacation mishaps, not achievement."",
    ""Need"": ""No expressed desire to reach a standard of excellence."",
    ""Act"": ""No action toward an achievement goal."",
    ""GA+"": ""No anticipation of success in an achievement context."",
    ""GA-"": ""No worry about failure in an achievement context."",
    ""BP"": ""No personal obstacle to an achievement goal."",
    ""BW"": ""No external obstacle to an achievement goal."",
    ""Help"": ""No enabling help for an achievement goal."",
    ""F+"": ""No positive feelings about achievement success."",
    ""F-"": ""No negative feelings about achievement failure."",
    ""TH"": ""Story not dominated by achievement theme.""
  }
}","{""AI"": ""0"", ""TI"": ""0"", ""UI"": ""1"", ""Need"": ""0"", ""Act"": null, ""GA+"": ""0"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""0""}",0,1.0,1.0,7,2026-06-16T01:36:05.664539+00:00,c0fe2ee779b2160c,
P723,P723_PIC3,3,Ach,1,"{
  ""AI"": ""1"",
  ""TI"": ""0"",
  ""UI"": ""0"",
  ""Need"": ""1"",
  ""Act"": ""null"",
  ""GA+"": ""1"",
  ""GA-"": ""0"",
  ""BP"": ""0"",
  ""BW"": ""0"",
  ""Help"": ""0"",
  ""F+"": ""0"",
  ""F-"": ""0"",
  ""TH"": ""1"",
  ""explanation"": {
    ""AI"": ""The story is clearly about a character in research striving to achieve a goal of discovering new drugs."",
    ""UI"": ""Achievement imagery is present, so UI is 0."",
    ""Need"": ""Eva has dedicated her life and hopes to fulfill her dream, indicating a desire and commitment to reach a goal."",
    ""Act"": ""No specific actions toward the goal are described in the present moment besides preparation in the past."",
    ""GA+"": ""She hopes to fulfill her dream of discovering new doors, which is positive anticipation of success."",
    ""GA-"": ""No worry or negative anticipation about failure is expressed."",
    ""BP"": ""No personal obstacles are mentioned."",
    ""BW"": ""No external obstacles are mentioned; the work is described as not easy but no block is specified."",
    ""Help"": ""No helpers are mentioned."",
    ""F+"": ""No positive emotions around success are described."",
    ""F-"": ""No negative emotions around failure are described."",
    ""TH"": ""The entire story is focused on the goal of scientific discovery and the struggle toward it.""
  }
}","{""AI"": ""1"", ""TI"": ""0"", ""UI"": ""0"", ""Need"": ""1"", ""Act"": ""null"", ""GA+"": ""1"", ""GA-"": ""0"", ""BP"": ""0"", ""BW"": ""0"", ""Help"": ""0"", ""F+"": ""0"", ""F-"": ""0"", ""TH"": ""1""}",4,1.0,1.0,7,2026-06-16T01:36:08.777451+00:00,8032a0ae6ea80446,
